week_workout,exercise,exercise_url,warm_up_sets,sets,reps,load,rpe,percent_one_rep_max,rest,sub_1,sub_1_url,sub_2,sub_2_url,notes
Upper #2,Overhead press,,3,3,4,,N/A,82.5%,3-4 min,,,,,"Squeeze your glutes to keep your torso upright, press up and slightly back"
,Single-arm lat pulldown,,1,2,10-12,,7,N/A,2-3 min,,,,,"Perform with bands if no lat pulldown, drive elbows down and in"
,Deficit push-up,youtu.be/gDoTTdAhsDg,2,2,AMRAP,,10,N/A,2-3 min,,,,,As many reps as possible. Use Perfect Push-up handles or dumbbells to create a deficit
,Pendlay row,,1,2,10,,7,N/A,1-2 min,,,,,"Be mindful of lower back fatigue. Stay light, minimize cheating"
,Pec flye,,0,2,15-20,,7,N/A,1-2 min,,,,,"Perform with cable, bands or dumbbells, use a full ROM"
,A1. Incline shrug,,1,2,15-20,,7,N/A,30sec,,,,,Lie face down against an incline bench and do shrugs - full ROM and squeeze!
,A2. Upright row,,1,2,15-20,,7,N/A,30sec,,,,,"Can use cables/rope, bands or dumbbells. Stop ROM once elbows reach shoulder height."
,Barbell skull crusher,,1,2,8-10,,7,N/A,1-2 min,,,,,"Do these on a bench, constant tension on triceps"
Lower #3,"3"" block pull",,4,2,4,,6,N/A,4-5 min,,,,,"Do block pulls from a 3"" block (can use 25lb + 10lb bumper plates as blocks)"
,Bulgarian split squat,,1,2,12,,6,N/A,2-3 min,,,,,"12 reps each leg, keep your torso upright, constant-tension on quads"
,Hip thrust,,1,2,8-10,,6,N/A,1-2 min,,,,,"Do barbell hip thrusts if no machine, use glutes to move the weight"
,Seated calf raise ,,0,3,15-20,,8,N/A,1-2 min,,,,,"Do standing if no machine, emphasize the mind-muscle connection"
,Hanging leg raise,,0,3,10-12,,8,N/A,1-2 min,,,,,"Knees to chest, controlled reps, straighten legs more to increase difficulty"
,Neck flexion/extension,,1,3,12/12,,8,N/A,1-2 min,,,,,"12 reps flexion (front of neck), 12 reps extension (back of neck)"
Upper #3,"""Flat-back"" barbell bench press",,3,3,10,,7,N/A,2-3 min,,,,,Shoulder blades still retracted and depressed. Slight arch in upper back. Minimize leg drive.
,Neutral grip pull-up,www.youtube.com/watch?v=Hdc7Mw6BIEE,1,2,10,,7,N/A,2-3 min,,,,,"Avoid failure, focus on good technique and maintaining consistent tempo"
,Weighted dip,,2,2,10,,7,N/A,2-3 min,,,,,Do dumbbell floor press if no access to dip handles
,Single-arm row,,1,2,10-12,,7,N/A,1-2 min,,,,,"Can use cables, bands or dumbbells - feel your lats working!"
,EZ bar curl,,1,3,12-15,,9,N/A,1-2 min,,,,,Focus on the mind-muscle connection
,Lean-away lateral raise,,0,2,30,,9,N/A,1-2 min,,,,,"Use a light dumbbell, constant-tension, no pause at the bottom"
,Bicycle crunch,,0,2,10-12,,8,N/A,1-2 min,,,,,Keep your hands behind your ears
SUGGESTED REST DAY,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Week 7,Exercise,,Warm-up Sets,Working Sets,Reps,,RPE,%1RM,Rest,,,,,Notes
"Full Body 1: Squat, OHP",Back squat,,4,1,3,,8.5,85-90%,4-5 min,,,,,Try to add some weight from Week 5 or improve bar speed at same weight
,Back squat,,0,2,2,,N/A,85%,3-4 min,,,,,Be mindful of technique. Focus on driving your back into the bar.
,Overhead press,,2,4,8,,7,70%,2-3 min,,,,,Reset each rep (don't touch-and-press)
,Glute Ham Raise,,1,2,8-10,,8,N/A,1-2 min,,,,,"Keep your hips straight, do nordic ham curls if no GHR machine"
,Helms row,,1,2,12-15,,9,N/A,1-2 min,,,,,Strict form. Drive elbows out and back at 45 degree angle
,Hammer curl,,0,3,20-25,,10,N/A,1-2 min,,,,,"Keep elbows locked in place, squeeze the dumbbell handle hard!"
"Full Body 2: Deadlift, Bench Press",Pause deadlift,,4,4,2,,N/A,75%,3-5 min,,,,,3 second pause right after the plates come off the ground
,Barbell bench press,,4,1,3,,9,85-90%,4-5 min,,,,,Top set. Leave 1 rep in the tank. Aim for near 3 rep PR.
,Barbell bench press,,0,2,4,,N/A,80%,2-3 min,,,,,Focus on technique. Press the bar back and up with explosive force
,Hip abduction,,0,3,15-20,,9,N/A,1-2 min,,,,,"Machine, band or weighted, 1 second isometric hold at the top of each rep"
,Weighted pull-up,,1,3,3-5,,7,N/A,3-4 min,,,,,"1.5x shoulder width grip, pull your chest to the bar"
,Standing calf raise,,1,3,8,,9,N/A,2-3 min,,,,,"1-2 second pause at the bottom of each rep, full ROM"
SUGGESTED REST DAY,,,,,,,,,,,,,,
"Full Body 3: Squat, Dip",Back squat,,4,4,6,,N/A,77.5%,3-4 min,,,,,Maintain tight pressure in your upper back against the bar 
,Weighted dip,,2,3,8,,8,N/A,2-3 min,,,,,Do dumbbell floor press if no access to dip handles
,Hanging leg raise,,0,3,10-12,,9,N/A,1-2 min,,,,,"Knees to chest, controlled reps, straighten legs more to increase difficulty"
,Lat pull-over,,1,3,12-15,,9,N/A,1-2 min,,,,,"Can use a DB, cable/rope or band, stretch and squeeze lats!"
,Incline dumbbell curl,,1,2,12-15,,9,N/A,1-2 min,,,,,"Do each arm one at a time rather than alternating, start with your weak arm"
,Face pull,,0,3,15-20,,9,N/A,1-2 min,,,,,"Can use cable/rope or band, retract your shoulder blades as you pull"
"Full Body 4: Deadlift, Bench Press",Deadlift,,4,1,3,,8.5,85-90%,4-5 min,,,,,Work up to a heavy triple with a load that hits RPE 8-9
,Pause barbell bench press,,3,4,6,,N/A,75%,2-3 min,,,,,2-3 second pause on the chest
,Pendlay row,,1,3,10,,7,N/A,2-3 min,,,,,"Be mindful of lower back fatigue. Stay light, minimize cheating"
,Nordic ham curl,,0,3,6-8,,8,N/A,1-2 min,,,,,"See video demos page in the program pdf, can sub for lying leg curl"
,Dumbbell shrug,,0,3,20-25,,9,N/A,1-2 min,,,,,"Feel a stretch on the traps at the bottom, squeeze hard at the top"
Full Body 5: Arm & Pump Day,EZ bar curl,,1,3,12,,8,N/A,30sec,,,,,Curl the bar out and up in an arc. Minimize momentum.
,A2. Floor skull crusher,,1,3,12,,8,N/A,30sec,,,,,"Arc the bar back behind your head, soft touch on the floor behind you"
,B1. Incline dumbbell curl (reverse 21s),,0,3,21,,10,N/A,30sec,,,,,"Do both arms at once: 7 reps full ROM, 7 reps top 1/2, 7 reps bottom 1/2"
,B2. Triceps pressdown (reverse 21s),,0,3,21,,10,N/A,30sec,,,,,"Do both arms at once: 7 reps full ROM, 7 reps bottom 1/2, 7 reps top 1/2"
,C1. Dumbbell lateral raise,,0,3,20,,9,N/A,30sec,,,,,"Arc the dumbbell out, mind-muscle connection with middle fibers"
,C2. Band pull-apart,,0,3,20,,9,N/A,30sec,,,,,Mind-muscle connection with rear delts
,C3. Standing calf raise,,0,3,12,,9,N/A,30sec,,,,,"1-2 second pause at the bottom of each rep, full squeeze at the top"
,C4. Bicycle crunch,,0,3,15,,9,N/A,30sec,,,,,Focus on rounding your back as you crunch hard!
,Neck flexion/extension,,1,3,15/15,,8,N/A,1-2 min,,,,,Avoid yanking the plate with your hands
SUGGESTED REST DAY,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Week 8,Exercise,,Warm-up Sets,Working Sets,Reps,,RPE,%1RM,Rest,,,,,Notes
Lower #1,Deadlift,,4,3,5,,N/A,80%,3-4 min,,,,,"Brace your lats, chest tall, pull the slack out of the bar before lifting"
,Sumo box squat,,2,2,8,,7,N/A,2-3 min,,,,,"If you squat high-bar, do sumo box squat. If you squat low-bar, do pause high-bar (2 sec pause)"
,Pull-through,,0,3,12-15,,9,N/A,1-2 min,,,,,"Can use cable/rope or band, use your glutes to move the weight"
,Leg curl,,1,3,6-8,,9,N/A,1-2 min,,,,,Do lying leg curl machine or nordic ham curl if no machine access
,Standing calf raise,,1,3,8-10,,9,N/A,1-2 min,,,,,"1-2 second pause at the bottom of each rep, full squeeze at the top"
Upper #1,Barbell bench press,,3,2,7,,N/A,77.5%,3-4 min,,,,,"Set up a comfortable arch, slight pause on the chest, explode up"
,Chin-up,,1,3,8-10,,8,N/A,2-3 min,,,,,"Underhand grip, pull your chest to the bar, add weight if needed to hit RPE"
,Standing arnold dumbbell press,,1,2,10-12,,9,N/A,2-3 min,,,,,Rotate the DBs in at the bottom and out at the top
,Chest-supported dumbbell row,,1,2,12-15,,9,N/A,1-2 min,,,,,Lie on an incline bench and do rows - pull with lats!
,Face pull,,0,2,15-20,,10,N/A,1-2 min,,,,,"Can use cable/rope or band, retract your shoulder blades as you pull"
,Dumbbell lateral raise,,0,3,15-20,,10,N/A,1-2 min,,,,,"Arc the dumbbell out, mind-muscle connection with middle fibers"
,Concentration bicep curl,,0,3,12-15,,10,N/A,1-2 min,,,,,Pin your elbow against your upper leg or the back of a bench
Lower #2,Low-bar back squat,,4,3,7,,N/A,75%,3-4 min,,,,,"Sit back and down, keep your upper back tight to the bar"
,Good morning,,2,2,10-12,,7,N/A,2-3 min,,,,,"Same as squat stance, keep shins straight, go lighter and ""feel"" hamstrings"
,Leg extension,,1,3,12-15,,9,N/A,1-2 min,,,,,"Use bands if no machine access, mind-muscle connection with quads"
,Standing calf raise ,,0,3,15-20,,10,N/A,1-2 min,,,,,Emphasize the mind-muscle connection
,Hip abduction,,0,3,15-20,,10,N/A,1-2 min,,,,,"Point toes slightly outward, mind-muscle connection with glutes"
,V sit-up,,0,3,12-15,,10,N/A,1-2 min,,,,,Think about squeezing your upper and lower abs together
Upper #2,Overhead press,,3,3,3/3,,N/A,82.5%,3-4 min,,,,,"First 3 reps strict military press (no leg drive), last 3 reps push press (use leg drive)"
,Single-arm lat pulldown,,1,2,10-12,,9,N/A,2-3 min,,,,,"Perform with bands if no lat pulldown, drive elbows down and in"
,Dumbbell incline press,,2,2,12,,8,N/A,2-3 min,,,,,"45° incline, keep shoulder blades retracted and depressed"
,Pendlay row,,1,2,10,,7,N/A,1-2 min,,,,,"Be mindful of lower back fatigue. Stay light, minimize cheating"
,Pec flye,,0,3,15-20,,10,N/A,1-2 min,,,,,"Perform with cable, bands or dumbbells, use a full ROM"
,A1. Incline shrug,,1,2,15-20,,10,N/A,30sec,,,,,Lie face down against an incline bench and do shrugs - full ROM and squeeze!
,A2. Bent over reverse dumbbell flye,,1,2,15-20,,10,N/A,30sec,,,,,"Mind-muscle connection with rear delts, sweep the weight out"
,Barbell skull crusher,,1,2,8-10,,10,N/A,1-2 min,,,,,"Do these on a bench, constant tension on triceps"
Lower #3,"2"" block pull",,4,2,4,,8,N/A,4-5 min,,,,,"Do block pulls from a 2"" block (can use 25lb bumper plate as blocks)"
,Bulgarian split squat,,1,2,12,,7,N/A,2-3 min,,,,,"12 reps each leg, keep your torso upright, constant-tension on quads"
,Hip thrust,,1,2,8-10,,7,N/A,1-2 min,,,,,"Do barbell hip thrusts if no machine, use glutes to move the weight"
,Seated calf raise ,,0,3,15-20,,9,N/A,1-2 min,,,,,"Do standing if no machine, emphasize the mind-muscle connection"
,Hanging leg raise,,0,3,10-12,,8,N/A,1-2 min,,,,,"Knees to chest, controlled reps, straighten legs more to increase difficulty"
,Neck flexion/extension,,1,3,12/12,,8,N/A,1-2 min,,,,,"12 reps flexion (front of neck), 12 reps extension (back of neck)"
Upper #3,"""Flat-back"" barbell bench press",,3,3,10,,7,N/A,2-3 min,,,,,Shoulder blades still retracted and depressed. Slight arch in upper back. Minimize leg drive.
,Eccentric-accentuated pull-up,,1,2,AMRAP,,10,N/A,2-3 min,,,,,"3 second negative on every rep, maintain controlled form for all reps"
,Weighted dip,,2,2,10,,8,N/A,2-3 min,,,,,Do dumbbell floor press if no access to dip handles
,Single-arm row,,1,2,10-12,,9,N/A,1-2 min,,,,,"Can use cables, bands or dumbbells - feel your lats working!"
,EZ bar curl,,1,3,12-15,,9,N/A,1-2 min,,,,,Focus on the mind-muscle connection
,Lean-away lateral raise,,0,2,30,,10,N/A,1-2 min,,,,,"Use a light dumbbell, constant-tension, no pause at the bottom"
,Bicycle crunch,,0,2,10-12,,9,N/A,1-2 min,,,,,Keep your hands behind your ears
SUGGESTED REST DAY,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Week 9,Exercise,,Warm-up Sets,Working Sets,Reps,,RPE,%1RM,Rest,,,,,Notes
"Full Body 1: Squat, OHP",Back squat,,4,1,2,,8.5,87.5-92.5%,4-5 min,,,,,Top set. Leave 1 (maybe 2) reps in the tank. Aim for near 2 rep PR.
,Squat walk-out (do not squat),,0,1,10sec,,NO REPS,100%,4-5 min,,,,,"Do not squat. Walk the weight out, hold and walk back in. Set the safety pins high and have a spotter."
,Overhead press,,2,3,6,,N/A,80%,2-3 min,,,,,Reset each rep (don't touch-and-press)
,Glute Ham Raise,,1,2,8-10,,7,N/A,1-2 min,,,,,"Keep your hips straight, do nordic ham curls if no GHR machine"
,Helms row,,1,2,12-15,,9,N/A,1-2 mn,,,,,Strict form. Drive elbows out and back at 45 degree angle
,Hammer curl,,0,3,20-25,,10,N/A,1-2 min,,,,,"Keep elbows locked in place, squeeze the dumbbell handle hard!"
"Full Body 2: Deadlift, Bench Press",Deadlift,,4,3,4,,N/A,80%,3-5 min,,,,,Semi-deload. Focus on technique and bar speed leading into max week.
,Barbell bench press,,4,1,2,,9,87.5-92.5%,4-5 min,,,,,Top set. Aim for a near 2 rep PR
,Barbell bench press,,0,2,2,,N/A,87.5%,2-3 min,,,,,Focus on technique. Press the bar back and up with explosive force
,Hip abduction,,0,3,15-20,,9,N/A,1-2 min,,,,,"Machine, band or weighted, 1 second isometric hold at the top of each rep"
,Weighted pull-up,,1,3,3-5,,7,N/A,3-4 min,,,,,"1.5x shoulder width grip, pull your chest to the bar"
,Standing calf raise,,1,3,8,,9,N/A,2-3 min,,,,,"1-2 second pause at the bottom of each rep, full ROM"
SUGGESTED REST DAY,,,,,,,,,,,,,,
"Full Body 3: Squat, Dip",Back squat,,4,3,4,,N/A,82.5%,3-4 min,,,,,Maintain tight pressure in your upper back against the bar 
,Weighted dip,,2,3,8,,8,N/A,2-3 min,,,,,Do dumbbell floor press if no access to dip handles
,Hanging leg raise,,0,3,10-12,,9,N/A,1-2 min,,,,,"Knees to chest, controlled reps, straighten legs more to increase difficulty"
,Lat pull-over,,1,3,12-15,,9,N/A,1-2 min,,,,,"Can use a DB, cable/rope or band, stretch and squeeze lats!"
,Incline dumbbell curl,,1,2,12-15,,9,N/A,1-2 min,,,,,"Do each arm one at a time rather than alternating, start with your weak arm"
,Face pull,,0,3,15-20,,9,N/A,1-2 min,,,,,"Can use cable/rope or band, retract your shoulder blades as you pull"
"Full Body 4: Deadlift, Bench Press",Pause deadlift,,4,4,2,,N/A,75%,3-4 min,,,,,3 second pause right after the plates come off the ground
,Pause barbell bench press,,3,3,5,,N/A,77.5%,2-3 min,,,,,2-3 second pause on the chest
,Pendlay row,,1,3,10,,7,N/A,2-3 min,,,,,"Be mindful of lower back fatigue. Stay light, minimize cheating"
,Nordic ham curl,,0,3,6-8,,8,N/A,1-2 min,,,,,"See video demos page in the program pdf, can sub for lying leg curl"
,Dumbbell shrug,,0,3,20-25,,9,N/A,1-2 min,,,,,"Feel a stretch on the traps at the bottom, squeeze hard at the top"
Full Body 5: Arm & Pump Day,EZ bar curl,,1,3,12,,8,N/A,30sec,,,,,Curl the bar out and up in an arc. Minimize momentum.
,A2. Floor skull crusher,,1,3,10,,8,N/A,30sec,,,,,"Arc the bar back behind your head, soft touch on the floor behind you"
,B1. Incline dumbbell curl (reverse 21s),,0,3,21,,10,N/A,30sec,,,,,"Do both arms at once: 7 reps full ROM, 7 reps top 1/2, 7 reps bottom 1/2"
,B2. Triceps pressdown (reverse 21s),,0,3,21,,10,N/A,30sec,,,,,"Do both arms at once: 7 reps full ROM, 7 reps bottom 1/2, 7 reps top 1/2"
,C1. Dumbbell lateral raise,,0,3,20,,9,N/A,30sec,,,,,"Arc the dumbbell out, mind-muscle connection with middle fibers"
,C2. Band pull-apart,,0,3,20,,9,N/A,30sec,,,,,Mind-muscle connection with rear delts
,C3. Standing calf raise,,0,3,12,,9,N/A,30sec,,,,,"1-2 second pause at the bottom of each rep, full squeeze at the top"
,C4. Bicycle crunch,,0,3,15,,9,N/A,30sec,,,,,Focus on rounding your back as you crunch hard!
,Neck flexion/extension,,1,3,15/15,,8,N/A,1-2 min,,,,,Avoid yanking the plate with your hands
SUGGESTED REST DAY,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Week 10A,Exercise,,Warm-up Sets,Working Sets,Reps,,RPE,%1RM,Rest,,,,,Notes
Squat test,Back squat,,4,1,AMRAP,,9.5,90.0%,4-5 min,,,,,As many reps as possible. Always use a spotter and good form. Aim to hit 3+ reps
,Single-arm lat pulldown,,1,2,12,,8,N/A,2-3 min,,,,,"Perform with bands if no lat pulldown, drive elbows down and in"
,Incline dumbbell curl,,0,4,12,,8,N/A,1-2 min,,,,,Focus on the mind-muscle connection
,Standing calf raise,,1,3,12,,8,N/A,1-2 min,,,,,"1-2 second pause at the bottom of each rep, full squeeze at the top"
SUGGESTED 1-2 REST DAYS,,,,,,,,,,,,,,
SUGGESTED 1-2 REST DAYS,,,,,,,,,,,,,,
Bench test,Barbell bench press,,4,1,AMRAP,,9.5,90.0%,4-5 min,,,,,As many reps as possible. Always use a spotter and good form. Aim to hit 3+ reps
,Leg curl,,1,3,8-10,,8,N/A,2-3 min,,,,,Do lying leg curl machine or nordic ham curl if no machine access
,Dumbbell lateral raise,,0,2,15-20,,8,N/A,1-2 min,,,,,"Arc the dumbbell out, mind-muscle connection with middle fibers"
,Triceps pressdown,,1,3,12,,8,N/A,1-2 min,,,,,"Can do with cables or bands, squeeze triceps to move the weight"
SUGGESTED 1-2 REST DAYS,,,,,,,,,,,,,,
SUGGESTED 1-2 REST DAYS,,,,,,,,,,,,,,
Deadlift test,Deadlift,,4,1,AMRAP,,9.5,90.0%,4-5 min,,,,,As many reps as possible. Always use a spotter and good form. Aim to hit 3+ reps
,Overhead press,,2,3,10,,6,N/A,2-3 min,,,,,Reset each rep (don't touch-and-press)
,Leg extension,,1,3,12,,7,N/A,1-2 min,,,,,"Use bands if no machine access, mind-muscle connection with quads"
,Bicycle crunch,,0,4,15,,8,N/A,1-2 min,,,,,Focus on rounding your back as you crunch hard!
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Week 10B,Exercise,,Warm-up Sets,Working Sets,Reps,,RPE,%1RM,Rest,,,,,Notes
Squat test,Back squat,,5,1-3,1,,9.5,100-105%,4-5 min,,,,,Aim for a new PR. Start with 100% and increase by ~2.5% every attempt until you hit a 9.5 RPE. Use a spotter and good form!
,Single-arm lat pulldown,,1,2,12,,8,N/A,2-3 min,,,,,"Perform with bands if no lat pulldown, drive elbows down and in"
,Incline dumbbell curl,,0,4,12,,8,N/A,1-2 min,,,,,Focus on the mind-muscle connection
,Standing calf raise,,1,3,12,,8,N/A,1-2 min,,,,,"1-2 second pause at the bottom of each rep, full squeeze at the top"
SUGGESTED 1-2 REST DAYS,,,,,,,,,,,,,,
SUGGESTED 1-2 REST DAYS,,,,,,,,,,,,,,
Bench test,Barbell bench press,,5,1-3,1,,9.5,100-105%,4-5 min,,,,,Aim for a new PR. Start with 100% and increase by ~2.5% every attempt until you hit a 9.5 RPE. Use a spotter and good form!
,Leg curl,,1,3,8-10,,8,N/A,2-3 min,,,,,Do lying leg curl machine or nordic ham curl if no machine access
,Dumbbell lateral raise,,0,2,15-20,,8,N/A,1-2 min,,,,,"Arc the dumbbell out, mind-muscle connection with middle fibers"
,Triceps pressdown,,1,3,12,,8,N/A,1-2 min,,,,,"Can do with cables or bands, squeeze triceps to move the weight"
SUGGESTED 1-2 REST DAYS,,,,,,,,,,,,,,
SUGGESTED 1-2 REST DAYS,,,,,,,,,,,,,,
Deadlift test,Deadlift,,5,1-3,1,,9.5,100-105%,4-5 min,,,,,Aim for a new PR. Start with 100% and increase by ~2.5% every attempt. 5-min rest between attempts. Use good form!
,Overhead press,,2,3,10,,6,N/A,2-3 min,,,,,Reset each rep (don't touch-and-press)
,Leg extension,,1,3,12,,7,N/A,1-2 min,,,,,"Use bands if no machine access, mind-muscle connection with quads"
,Bicycle crunch,,0,4,15,,8,N/A,1-2 min,,,,,Focus on rounding your back as you crunch hard!
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Week 11,Exercise,,Warm-up Sets,Working Sets,Reps,,RPE,%1RM,Rest,,,,,Notes
Lower #1,Deadlift,,4,2,3,,N/A,75%,3-5 min,,,,,"Brace your lats, chest tall, pull the slack out of the bar before lifting"
,Sumo box squat,,2,2,6,,5,N/A,2-3 min,,,,,"If you squat high-bar, do sumo box squat. If you squat low-bar, do pause high-bar (2 sec pause)"
,Leg curl,,1,2,6-8,,6,N/A,1-2 min,,,,,Do lying leg curl machine or nordic ham curl if no machine access
,Standing calf raise,,1,2,8-10,,6,N/A,1-2 min,,,,,"1-2 second pause at the bottom of each rep, full squeeze at the top"
,Hanging leg raise,,0,2,10-12,,6,N/A,1-2 min,,,,,"Knees to chest, controlled reps, straighten legs more to increase difficulty"
Upper #1,Barbell bench press,,3,3,6,,N/A,72.5%,3-4 min,,,,,"Set up a comfortable arch, slight pause on the chest, explode up"
,Assisted chin-up,,1,3,8-10,,7,N/A,2-3 min,,,,,"Underhand grip, pull your chest to the bar, add weight if needed to hit RPE"
,Overhead press,,2,2,4,,N/A,75%,2-3 min,,,,,"Squeeze your glutes to keep your torso upright, press up and slightly back"
,Chest-supported dumbbell row,,1,2,12-15,,7,N/A,1-2 min,,,,,Lie on an incline bench and do rows - pull with lats!
,A1: Face pull,,0,2,15-20,,8,N/A,30sec,,,,,"Can use cable/rope or band, retract your shoulder blades as you pull"
,A2: Dumbbell lateral raise,,0,2,15-20,,8,N/A,30sec,,,,,"Arc the dumbbell out, mind-muscle connection with middle fibers"
,B1: Concentration bicep curl,,0,2,12-15,,8,N/A,30sec,,,,,Pin your elbow against your upper leg or the back of a bench
,B2: Triceps pressdown,,0,2,12-15,,8,N/A,30sec,,,,,"Can do with cables or bands, squeeze triceps to move the weight"
SUGGESTED REST DAY (1-2 days off depending on your schedule),,,,,,,,,,,,,,
SUGGESTED REST DAY (1-2 days off depending on your schedule),,,,,,,,,,,,,,
Lower #2,Back squat,,4,2,6,,N/A,70%,3-4 min,,,,,"Sit back and down, keep your upper back tight to the bar"
,Snatch-grip Romanian deadlift,,2,2,8,,6,N/A,2-3 min,,,,,"Wide grip, mind-muscle connection with hamstrings"
,Leg extension,,1,2,12-15,,7,N/A,1-2 min,,,,,"Use bands if no machine access, mind-muscle connection with quads"
,Standing calf raise ,,0,3,15-20,,8,N/A,1-2 min,,,,,Emphasize the mind-muscle connection
,Hip abduction,,0,3,15-20,,8,N/A,1-2 min,,,,,"Point toes slightly outward, mind-muscle connection with glutes"
,V sit-up,,0,3,12-15,,8,N/A,1-2 min,,,,,Think about squeezing your upper and lower abs together
,Neck flexion/extension,,1,3,12/12,,8,N/A,1-2 min,,,,,"12 reps flexion (front of neck), 12 reps extension (back of neck)"
Upper #2,Close-grip bench press,,3,3,10,,6,N/A,2-3 min,,,,,"Shoulder width grip, tuck your elbows in closer to your torso"
,Chest-supported dumbbell row,,1,2,10,,6,N/A,3-4 min,,,,,Lie on an incline bench and do rows - pull with lats!
,Weighted dip,,2,3,6,,7,N/A,2-3 min,,,,,Do floor dumbbell press if no access to dip handles
,Single-arm lat pulldown,,1,2,10,,8,N/A,2-3 min,,,,,"Perform with bands if no lat pulldown, drive through elbows"
,A1. Incline shrug,,0,2,15-20,,8,N/A,30sec,,,,,Lie against an incline bench and do shrugs - full ROM and squeeze!
,A2. Upright row,,0,2,15-20,,8,N/A,30sec,,,,,"Can use cables/rope, bands or dumbbells. Stop ROM once elbows reach shoulder height."
,B1: EZ bar curl,,0,3,12-15,,8,N/A,30sec,,,,,Focus on the mind-muscle connection
,B2. Skull crusher,,0,3,8-10,,8,N/A,30sec,,,,,"Barbell or EZ bar, do these on a bench, constant tension on triceps"
SUGGESTED REST DAY (1-2 days off depending on your schedule),,,,,,,,,,,,,,
SUGGESTED REST DAY (1-2 days off depending on your schedule),,,,,,,,,,,,,,
